StudentID,Regular,Extra,Priority,LimitedView,ScreenOnly
60568905,5,0,5,0,0
60620127,5,0,5,0,0
60563455,5,0,5,0,0
60606076,5,0,5,0,0
60467410,5,0,5,0,0
60514722,5,0,5,0,0
60615067,5,0,5,0,0
60626968,5,0,5,0,0
60468003,5,0,5,0,0
60468065,5,0,5,0,0
60465046,5,0,5,0,0
60469033,5,0,5,0,0
60570891,5,0,5,0,0
60565246,5,0,5,0,0
60552791,5,0,5,0,0
60470379,5,0,5,0,0
60469375,5,0,5,0,0
60480127,5,0,5,0,0
60469262,5,0,5,0,0
60466534,5,0,5,0,0
60470052,5,0,5,0,0
60652283,5,0,5,0,0
60636408,5,0,5,0,0
60472039,5,0,5,0,0
60586890,5,0,5,0,0
60466955,5,0,5,0,0
60643304,5,0,5,0,0
60504868,5,0,5,0,0
60475173,5,0,5,0,0
60654508,5,0,5,0,0
60464247,5,0,5,0,0
60490615,1,4,1,4,0
60585485,6,0,6,0,0
60504395,6,0,6,0,0
60468961,6,0,6,0,0
60478559,6,0,6,0,0
60536263,6,0,6,0,0
60600516,6,0,6,0,0
60631173,6,0,6,0,0
60506765,6,0,6,0,0
60555433,6,0,6,0,0
60465680,6,0,6,0,0
60636238,6,0,6,0,0
60532967,6,0,6,0,0
60643300,6,0,6,0,0
60466471,6,0,6,0,0
60476844,6,0,6,0,0
60467432,6,0,6,0,0
60467988,6,0,6,0,0
60469321,6,0,6,0,0
60635104,6,0,6,0,0
60663411,6,0,6,0,0
60475524,6,0,6,0,0
60628697,6,0,6,0,0
60486873,6,0,6,0,0
60464412,6,0,6,0,0
60522831,6,0,6,0,0
60471755,6,0,6,0,0
60468084,5,1,6,0,0
60468510,4,2,6,0,0
60577163,3,3,6,0,0
60567134,7,0,7,0,0
60464586,7,0,7,0,0
60468026,7,0,7,0,0
60468007,7,0,7,0,0
60471859,7,0,7,0,0
60467887,7,0,7,0,0
60488552,7,0,7,0,0
60464280,7,0,7,0,0
60470133,7,0,7,0,0
60467989,7,0,7,0,0
60493043,7,0,7,0,0
60468563,7,0,7,0,0
60649361,7,0,7,0,0
60465315,7,0,7,0,0
60464604,7,0,7,0,0
60469139,7,0,7,0,0
60501100,7,0,7,0,0
60495934,7,0,7,0,0
60607779,7,0,7,0,0
60652183,7,0,7,0,0
60658093,7,0,7,0,0
60468297,7,0,7,0,0
60613037,7,0,7,0,0
60472322,7,0,7,0,0
60464639,7,0,7,0,0
60565822,7,0,7,0,0
60464245,7,0,7,0,0
60478070,7,0,7,0,0
60577106,7,0,7,0,0
60468000,7,0,7,0,0
60464323,7,0,7,0,0
60464266,7,0,7,0,0
60468355,7,0,7,0,0
60465994,7,0,7,0,0
60465955,7,0,7,0,0
60471569,7,0,7,0,0
